AA1R	comp216	6.38
AA1R	comp217	6.41
AA1R	comp218	5.8
AA1R	comp219	7.22
AA1R	comp220	6.9
AA1R	comp221	6.64
AA1R	comp222	7.12
AA1R	comp223	5.71
AA1R	comp224	6.44
AA1R	comp225	5.46
AA1R	comp226	6.21
AA1R	comp227	5.12
AA1R	comp228	5.19
AA1R	comp229	5.4
AA1R	comp230	6.01
AA1R	comp231	5.97
AA1R	comp232	5.31
AA1R	comp233	5.21
AA1R	comp234	5.92
AA1R	comp235	5.85
AA1R	comp236	6.7
AA1R	comp237	6.57
AA1R	comp238	6.57
AA1R	comp239	6.27
AA1R	comp240	7.11
AA1R	comp241	6.32
AA1R	comp242	6.92
AA1R	comp243	6.85
AA1R	comp244	7.14
AA1R	comp245	6.22
AA1R	comp246	7.17
AA1R	comp247	7.17
AA1R	comp248	7.31
AA1R	comp249	5.01
AA1R	comp250	5.82
AA1R	comp251	5.37
AA1R	comp252	5.66
AA1R	comp253	5.96
AA1R	comp254	6.13
AA1R	comp255	6.82
AA1R	comp256	7
AA1R	comp257	6.92
AA1R	comp258	7.55
AA1R	comp259	6.66
AA1R	comp260	5.25
AA1R	comp261	6.68
AA1R	comp262	5.75
AA1R	comp263	5.48
AA1R	comp264	5.29
AA1R	comp265	6.18
AA1R	comp266	5.95
AA1R	comp267	6.2
AA1R	comp268	6.68
AA1R	comp269	6.66
AA1R	comp270	5.59
AA1R	comp271	6.43
AA1R	comp272	5.7
AA1R	comp273	5.36
AA1R	comp274	6.22
AA1R	comp275	5.87
AA1R	comp276	6.34
AA1R	comp277	5.37
AA1R	comp278	6.94
AA1R	comp279	7.36
AA1R	comp280	6.12
AA1R	comp281	7.72
AA1R	comp282	6.97
AA1R	comp283	7.34
AA1R	comp284	7.19
AA1R	comp285	7.23
AA1R	comp286	6.79
AA1R	comp287	7.4
AA1R	comp288	7.22
AA1R	comp289	7.46
AA1R	comp290	8.88
AA1R	comp291	8.46
AA1R	comp292	7.49
AA1R	comp293	5.88
AA1R	comp294	7.46
AA1R	comp295	7.19
AA1R	comp296	7.22
AA1R	comp297	9.4
AA1R	comp298	7.49
AA1R	comp299	5.06
AA1R	comp300	5.68
AA1R	comp301	5.87
AA1R	comp302	5
AA1R	comp303	5
AA1R	comp304	6.52
AA1R	comp305	6.85
AA1R	comp306	6.72
AA1R	comp307	9.82
AA1R	comp308	9.27
AA1R	comp309	9.66
AA1R	comp310	5.24
AA1R	comp311	6.5
AA1R	comp312	6.02
AA1R	comp313	6.87
AA1R	comp314	5.91
AA1R	comp315	5.87
AA1R	comp316	7.4
AA1R	comp317	5.3
AA1R	comp318	6.05
AA1R	comp319	5.1
AA1R	comp320	8.74
AA1R	comp321	8.59
AA1R	comp322	8.88
AA1R	comp323	8.8
AA1R	comp324	8.92
AA1R	comp325	4.5
AA1R	comp326	4.97
AA1R	comp327	4.53
AA1R	comp328	5.19
AA1R	comp329	6.52
AA1R	comp330	4.71
AA1R	comp331	4.92
AA1R	comp332	5.37
AA1R	comp333	4.96
AA1R	comp334	5.05
AA1R	comp335	5.42
AA1R	comp336	4.86
AA1R	comp337	6.38
AA1R	comp338	6.99
AA1R	comp339	7.78
AA1R	comp340	5.44
AA1R	comp341	9.16
AA1R	comp342	4.79
AA1R	comp343	5.77
AA1R	comp344	6.165
AA1R	comp345	5.94
AA1R	comp346	5.85
AA1R	comp347	5.36
AA1R	comp348	4.94
AA1R	comp349	6.39
AA1R	comp350	5.88
AA1R	comp351	6.22
AA1R	comp352	6.19
AA1R	comp353	7.22
AA1R	comp354	7.72
AA1R	comp355	7.16
AA1R	comp356	7.21
AA1R	comp357	7.62
AA1R	comp358	7.06
AA1R	comp359	6.22
AA1R	comp360	9.6
AA1R	comp361	4.61
AA1R	comp362	6.2525
AA1R	comp363	9.31
AA1R	comp364	6.05
AA1R	comp365	7.5
AA1R	comp366	8.4
AA1R	comp367	6.4
AA1R	comp368	6.38
AA1R	comp369	7.92
AA1R	comp370	6.11
AA1R	comp371	6.84
AA1R	comp372	6.02
AA1R	comp373	6.01
AA1R	comp374	6.23
AA1R	comp375	6.517142857
AA1R	comp376	9.54
AA1R	comp377	6.53
AA1R	comp378	6.49
AA1R	comp379	7.38
AA1R	comp380	7.3
AA1R	comp381	5.84
AA1R	comp382	6.91
AA1R	comp383	5.6
AA1R	comp384	5.975
AA1R	comp385	9
AA1R	comp386	7.96
AA1R	comp387	5.35
AA1R	comp388	6.46
AA1R	comp389	5.585
AA1R	comp390	5.87
AA1R	comp391	5.28
AA1R	comp392	5.53
AA1R	comp393	5.19
AA1R	comp394	6.2
AA1R	comp395	5.64
AA1R	comp396	5.49
AA1R	comp397	5.54
AA1R	comp398	5.52
AA1R	comp399	6.17
AA1R	comp400	5.3
AA1R	comp401	5.78
AA1R	comp402	5.99
AA1R	comp403	8.355
AA1R	comp404	6.438571429
AA1R	comp405	5.66
AA1R	comp406	5.6
AA1R	comp407	6.7
AA1R	comp408	8.3
AA1R	comp409	8
AA1R	comp410	5.96
AA1R	comp411	5.765
AA1R	comp412	5.57
AA1R	comp413	7.39
AA1R	comp414	9
AA1R	comp415	6.6
AA1R	comp416	6.6
AA1R	comp417	6.28
AA1R	comp418	7.52
AA1R	comp419	7.66
AA1R	comp420	8.31
AA1R	comp421	8.15
AA1R	comp422	6.62
AA1R	comp423	7
AA1R	comp424	7.46
AA1R	comp425	8.37
AA1R	comp426	7.75
AA1R	comp427	5.5
AA1R	comp428	5.6
AA1R	comp429	6.1
AA1R	comp430	6.75
AA1R	comp431	6.68
AA1R	comp432	8
AA1R	comp433	7.85
AA1R	comp434	7.48
AA1R	comp435	7.07
AA1R	comp436	6.89
AA1R	comp437	7.22
AA1R	comp438	5.6
AA1R	comp439	5.24
AA1R	comp440	6.12
AA1R	comp441	7.92
AA1R	comp442	5.85
AA1R	comp443	5.85
AA1R	comp444	7.38
AA1R	comp445	7.77
AA1R	comp446	7.57
AA1R	comp447	7.01
AA1R	comp448	7.96
AA1R	comp449	6.51
AA1R	comp450	7.6
AA1R	comp451	6.89
AA1R	comp452	7.17
AA1R	comp453	6.16
AA1R	comp454	6.66
AA1R	comp455	7.06
AA1R	comp456	4.53
AA1R	comp457	5.14
AA1R	comp458	4.86
AA1R	comp459	6.29
AA1R	comp460	5.76
AA1R	comp461	5.27
AA1R	comp462	7.6
AA1R	comp463	6.565
AA1R	comp464	7.25
AA1R	comp465	6.71
AA1R	comp466	9.79
AA1R	comp467	7.78
AA1R	comp468	6.77
AA1R	comp469	7.505
AA1R	comp470	5.6
AA1R	comp471	8
AA1R	comp472	5.77
AA1R	comp473	5.9
AA1R	comp474	5.89
AA1R	comp475	7.51
AA1R	comp476	7.7
AA1R	comp477	7.22
AA1R	comp478	7.34
AA1R	comp479	6.66
AA1R	comp480	8.7
AA1R	comp481	7.28
AA1R	comp482	6.6
AA1R	comp483	7.51
AA1R	comp484	5.89
AA1R	comp485	5.43
AA1R	comp486	5.12
AA1R	comp487	6.51
AA1R	comp488	6.02
AA1R	comp489	5.71
AA1R	comp490	5.61
AA1R	comp491	4.73
AA1R	comp492	5.63
AA1R	comp493	7.1
AA1R	comp494	5.44
AA1R	comp495	6.64
AA1R	comp496	4.37
AA1R	comp497	5.25
AA1R	comp498	4.72
AA1R	comp499	4.78
AA1R	comp500	4.96
AA1R	comp501	5.57
AA1R	comp502	5.47
AA1R	comp503	6.17
AA1R	comp504	6.1
AA1R	comp505	6.51
AA1R	comp506	7.19
AA1R	comp507	4.7
AA1R	comp508	4.72
AA1R	comp509	5.06
AA1R	comp510	5.12
AA1R	comp511	4.92
AA1R	comp512	4.98
AA1R	comp513	5.35
AA1R	comp514	5.96
AA1R	comp515	5.42
AA1R	comp516	5.425
AA1R	comp517	5.56
AA1R	comp518	4.39
AA1R	comp519	5.11
AA1R	comp520	4.63
AA1R	comp521	4.49
AA1R	comp522	5.96
AA1R	comp523	5.57
AA1R	comp524	5.45
AA1R	comp525	5.84
AA1R	comp526	5.06
AA1R	comp527	5.08
AA1R	comp528	5.3
AA1R	comp529	5.62
AA1R	comp530	4.8
AA1R	comp531	5.23
AA1R	comp532	5.72
AA1R	comp533	5.9
AA1R	comp534	4.85
AA1R	comp535	5.46
AA1R	comp536	5.4
AA1R	comp537	6.05
AA1R	comp538	5.06
AA1R	comp539	4.4
AA1R	comp540	5.09
AA1R	comp541	4.99
AA1R	comp542	6.22
AA1R	comp543	5.57
AA1R	comp544	5.23
AA1R	comp545	5.59
AA1R	comp546	4.85
AA1R	comp547	4.72
AA1R	comp548	5.3
AA1R	comp549	5.29
AA1R	comp550	5.57
AA1R	comp551	6.16
AA1R	comp552	5.62
AA1R	comp553	6.03
AA1R	comp554	7.12
AA1R	comp555	6.64
AA1R	comp556	4.81
AA1R	comp557	5.05
AA1R	comp558	4.87
AA1R	comp559	6.85
AA1R	comp560	7.34
AA1R	comp561	5.55
AA1R	comp562	5.37
AA1R	comp563	9
AA1R	comp564	7.24
AA1R	comp565	7.09
AA1R	comp566	6.55
AA1R	comp567	7.6
AA1R	comp568	6.21
AA1R	comp569	6.5
AA1R	comp570	6.25
AA1R	comp571	5.64
AA1R	comp572	5.31
AA1R	comp573	4.64
AA1R	comp574	5.82
AA1R	comp575	6.83
AA1R	comp576	7.72
